"order_timestamp","user_id","order_number","total_item_amount","total_shipping_fee","total_point_spent"
"2019-06-11 02:06:52.691",991,"49621468106511841",49300,4500,4000
"2019-06-11 02:26:05.572",9452,"57556578106517620",77000,0,4000
"2019-06-11 02:37:21.717",2285,"91714288106518687",28000,5000,4000
"2019-06-11 02:48:52.458",10051,"16423988106515936",13500,2500,3000
"2019-06-11 03:05:44.757",5016,"85744998106515287",18000,2500,2000
"2019-06-11 03:35:13.637",4533,"14631719106517059",13000,2500,2000
"2019-06-11 03:44:17.578",10736,"97575229106512088",128000,0,4000
"2019-06-11 03:50:40.228",2251,"03204629106514584",23200,2500,3000
"2019-06-11 04:45:23.06",8300,"56032959106514258",1500,2500,4000
"2019-06-11 05:42:04.113",3188,"51142399106517130",32900,2500,4000
"2019-06-11 05:47:25.154",6511,"65154699106519346",19900,2500,4000
"2019-06-11 05:53:56.379",1664,"08363000206511286",27900,2000,0
"2019-06-11 06:32:45.325",7388,"63356320206515827",22900,2000,0
"2019-06-11 07:21:22.795",9763,"99728250206518422",43500,5000,4000
"2019-06-11 07:47:47.842",562,"64876860206511582",38000,2500,1000
"2019-06-11 08:29:38.804",11630,"60887390206514098",4500,2500,4000
"2019-06-11 08:37:50.719",5203,"32707890206514459",40000,2500,1000
"2019-06-11 08:44:41.453",8149,"75418201206513968",30100,2500,3000
"2019-06-11 09:13:01.805",7490,"70818911206518013",77800,0,1000
"2019-06-11 09:23:01.464",3742,"27418521206511493",16900,2500,4000
"2019-06-11 09:24:36.864",9128,"66867621206510990",43600,2500,4000
"2019-06-11 09:24:37.191",5087,"39177621206511946",15300,2500,1000
"2019-06-11 09:30:25.666",10309,"86652031206513815",40500,2500,4000
"2019-06-11 09:53:19.749",1054,"35799341206512453",9900,2500,2000
"2019-06-11 10:04:55.087",6025,"98059051206516714",9000,2500,4000
"2019-06-11 10:29:09.134",2834,"73194561206516709",5900,2500,4000
"2019-06-11 10:51:35.327",6801,"03359871206512693",6500,2500,3000
"2019-06-11 11:07:20.789",7916,"39704881206511455",27000,2500,1000
"2019-06-11 11:12:05.61",7600,"41652191206514147",28800,2500,0
"2019-06-11 11:21:52.008",9794,"11021791206511234",15500,2500,4000
"2019-06-11 11:28:16.106",6039,"90169002206519050",15500,2500,3000
"2019-06-11 11:40:22.141",6798,"44122802206511008",11900,2500,2000
"2019-06-11 11:42:10.891",1110,"49803902206515617",48200,5000,4000
"2019-06-11 11:49:14.064",11072,"76045312206511582",22800,2500,4000
"2019-06-11 11:49:43.151",4044,"25138312206510828",38000,2500,2000
"2019-06-11 11:52:14.243",6909,"54243512206511328",25500,2500,4000
"2019-06-11 11:55:40.283",9086,"68204712206519104",14500,2000,3000
"2019-06-11 11:56:36.372",1301,"57369712206518410",45000,5000,3000
"2019-06-11 11:58:56.556",5889,"75563912206515470",59600,0,2000
"2019-06-11 12:15:02.686",6360,"88620922206514745",31400,5000,1000
"2019-06-11 12:32:43.206",8929,"11236932206510469",37500,2500,4000
"2019-06-11 12:34:29.315",2417,"42396042206517857",69200,5000,2000
"2019-06-11 12:46:20.355",11306,"17308742206512984",26000,2500,3000
"2019-06-11 12:53:11.436",5551,"83419152206512360",42300,2500,3000
"2019-06-11 13:00:20.606",2702,"01602652206516041",22800,2500,1000
"2019-06-11 13:06:07.237",5132,"04276952206515594",19500,2500,4000
"2019-06-11 13:17:25.361",7165,"56354662206519387",8000,2500,4000
"2019-06-11 13:21:50.059",7689,"36001962206515557",5000,2500,3000
"2019-06-11 13:22:49.052",1209,"55096962206519208",12900,2500,2000
"2019-06-11 13:28:59.097",2830,"00193372206519346",6500,2500,3000
"2019-06-11 13:43:12.799",8607,"20829182206512707",14000,2500,4000
"2019-06-11 14:17:12.209",3371,"13423203206511088",27400,2500,2000
"2019-06-11 14:21:39.073",7124,"47099403206513678",17500,2500,4000
"2019-06-11 14:23:56.232",10244,"53263603206519152",12500,2500,4000
"2019-06-11 14:25:13.079",8700,"18031703206519397",6500,2500,3000
"2019-06-11 15:21:28.014",1210,"71088043206514003",37760,2000,3000
"2019-06-11 16:04:57.514",404,"81579663206519447",41370,4500,2000
"2019-06-11 16:43:27.198",7163,"10270093206514563",32800,2500,1000
"2019-06-11 16:43:56.357",8153,"06363093206514408",89000,0,2000
"2019-06-11 17:02:45.115",2657,"71156104206512440",6500,2500,4000
"2019-06-11 17:20:52.735",10220,"73725214206517662",9900,2500,2000
"2019-06-11 17:38:54.912",5919,"41943324206515302",22000,5000,4000
"2019-06-11 17:42:01.306",1773,"70312524206519550",43800,2500,3000
"2019-06-11 17:49:37.202",7417,"60277924206517681",14500,2500,2000
"2019-06-11 18:07:50.257",1929,"06207044206511981",33000,2500,4000
"2019-06-11 18:10:57.147",11926,"05175244206514892",17500,2500,2000
"2019-06-11 18:26:37.466",4818,"07479154206517453",13900,2500,4000
"2019-06-11 18:43:46.23",1480,"43262264206510828",29500,2500,3000
"2019-06-11 18:49:46.101",3056,"40168564206513837",43100,2500,1000
"2019-06-11 18:51:24.28",9379,"48248664206511087",8500,2500,4000
"2019-06-11 18:52:31.328",2996,"13315764206514736",29900,5000,2000
"2019-06-11 18:57:47.796",7134,"99776074206518502",33000,2500,4000
"2019-06-11 19:03:41.852",2915,"45812474206518250",9800,2500,3000
"2019-06-11 19:20:57.533",8227,"24575484206513583",28500,2500,2500
"2019-06-11 19:22:55.856",10862,"85857584206510299",36300,2500,2000
"2019-06-11 19:23:39.902",3894,"40991684206515517",45500,2500,2000
"2019-06-11 19:44:25.924",9062,"72956894206514122",63200,2500,4000
"2019-06-11 19:54:31.412",11405,"31417405206515836",58800,5000,3000
"2019-06-11 19:59:17.619",1390,"22675705206516008",39500,2500,2000
"2019-06-11 20:01:11.819",4228,"02817805206519069",23000,2500,2000
"2019-06-11 20:02:28.918",6396,"02984905206515004",68500,0,2000
"2019-06-11 20:07:20.296",4305,"99204215206512125",6500,2500,3000
"2019-06-11 20:09:03.961",9013,"46934315206511123",19800,2000,2000
"2019-06-11 20:13:32.664",5848,"76621615206519353",30600,2500,2000
"2019-06-11 20:30:40.825",996,"92804625206517343",9900,2000,3000
"2019-06-11 20:33:04.152",12349,"55148725206512286",11500,2500,3000
"2019-06-11 20:36:37.75",11482,"35779925206517204",14500,2500,3000
"2019-06-11 20:40:23.066",8180,"96032235206517685",236600,15000,4000
"2019-06-11 20:42:32.961",5929,"46925335206514848",6600,2500,1000
"2019-06-11 20:51:46.621",1322,"03660935206511459",16500,2500,4000
"2019-06-11 20:54:37.898",6295,"80977045206513427",6900,2500,3000
"2019-06-11 20:56:26.652",10215,"35668145206515376",54000,2500,4000
"2019-06-11 20:58:45.464",5886,"66452345206516411",45300,4500,2000
"2019-06-11 21:15:26.365",5521,"66362355206514696",78000,0,3000
"2019-06-11 21:16:56.031",4646,"33061455206514088",19500,2500,2000
"2019-06-11 21:22:32.711",4194,"21725755206516777",108600,2500,4000
"2019-06-11 21:44:09.112",603,"31194075206510532",121700,0,2000
"2019-06-11 21:47:58.113",10639,"91187275206513264",26900,2500,1000
"2019-06-11 21:51:42.973",10636,"77920575206517969",25000,2500,1000
"2019-06-11 21:58:56.221",3033,"42263975206518743",28000,2500,3000
"2019-06-11 21:58:58.149",7160,"25183975206516218",41000,2500,3000
"2019-06-11 22:01:55.256",3385,"75251185206517590",13900,2500,4000
"2019-06-11 22:03:38.762",4990,"56781285206511517",18400,2500,1000
"2019-06-11 22:19:08.073",2113,"67084195206519841",73200,0,3000
